"","id","rank","workers","company","url","state_l","state_s","city","metro","growth","revenue","industry","yrs_on_list"
"3477",18174,3477,1577,"BalancePoint","balancepoint","Missouri","MO","Kansas City","Kansas City MO-KS",95,18223894,"IT Services",4
"3478",25653,3478,24,"E.E. Ward Moving & Storage","ee-ward-moving-storage","Ohio","OH","Columbus","Columbus OH",95,4898145,"Logistics & Transportation",1
"3479",25450,3479,160,"Nor-Son","nor-son","Minnesota","MN","Baxter","Brainerd MN",95,82335000,"Construction",1
"3480",20591,3480,92,"c3/consulting","c3consulting","Tennessee","TN","Nashville","Nashville",95,15845547,"IT Services",3
"3481",22346,3481,27,"Smartware Group","smartware-group","New Hampshire","NH","Center Harbor","Laconia NH",95,3459800,"Software",3
"3482",26111,3482,38,"Automatic Payroll Systems","automatic-payroll-systems","Louisiana","LA","Shreveport","Shreveport-Bossier City LA",95,3980672,"Business Products & Services",1
"3483",18877,3483,3,"Synergy Consortium Services","synergy-consortium-services","Wisconsin","WI","Madison","Madison WI",95,13037348,"IT Services",5
"3484",25286,3484,17,"Evans & Chambers Technology","evans-chambers-technology","Virginia","VA","Vienna","Washington DC",95,2040000,"Government Services",1
"3485",26047,3485,120,"MEJansen Development Company","mejansen-development-company","Colorado","CO","Pueblo","Pueblo CO",95,6062834,"Real Estate",1
"3486",24509,3486,1200,"Quality Companies USA","quality-companies-usa","Louisiana","LA","Youngsville","New Iberia LA",95,98531901,"Energy",2
"3487",20857,3487,173,"IQMS","iqms","California","CA","Paso Robles","San Luis Obispo-Paso Robles CA",95,32225581,"Software",4
"3488",25845,3488,55,"eSquared Communication Consulting","esquared-communication-consulting","Arizona","AZ","Tempe","Phoenix",95,6602625,"Telecommunications",1
"3489",26275,3489,50,"Primary Services","primary-services","Texas","TX","Houston","Houston",95,47647574,"Human Resources",1
"3490",4348,3490,282,"StarTech.com","startechcom","Ohio","OH","Lockbourne","Columbus OH",95,81797736,"Computer Hardware",8
"3491",24413,3491,20,"Warehouse of Fixtures","warehouse-of-fixtures","Missouri","MO","St. Louis","St. Louis MO-IL",95,4021070,"Business Products & Services",2
"3492",1704,3492,900,"LogiGear","logigear","California","CA","Foster City","San Francisco",95,15157831,"Software",4
"3493",20021,3493,41,"Vorsight","vorsight","Virginia","VA","Arlington","Washington DC",95,4475986,"Business Products & Services",4
"3494",25120,3494,150,"Bizmatics","bizmatics","California","CA","San Jose","San Jose",95,5975271,"Health",1
"3495",24633,3495,144,"Reborn Cabinets","reborn-cabinets","California","CA","Anaheim","Los Angeles",95,16691147,"Construction",1
"3496",1415,3496,80,"Location3 Media","location3-media","Colorado","CO","Denver","Denver",94,33877133,"Advertising & Marketing",8
"3497",20297,3497,140,"Decipher","decipher","California","CA","Fresno","Fresno CA",94,25437446,"Software",4
"3498",24830,3498,15,"Sixto Packaging","sixto-packaging","Florida","FL","Miami","Miami",94,5070388,"Manufacturing",1
"3499",9217,3499,25,"Construction Results Corporation","construction-results-corporation","Minnesota","MN","Plymouth","Minneapolis",94,12592100,"Construction",2
"3500",20849,3500,989,"Veredus","veredus","Florida","FL","Tampa","Tampa",94,83551469,"Human Resources",5
"3501",22040,3501,27,"Infintech","infintech","Ohio","OH","Cincinnati","Cincinnati",94,6011782,"Financial Services",3
"3502",22005,3502,22,"Language Training Center","language-training-center","Indiana","IN","Indianapolis","Indianapolis IN",94,4223265,"Education",3
"3503",2872,3503,65,"Wilen","wilen","New York","NY","Farmingdale","New York City",94,50104000,"Advertising & Marketing",4
"3504",26328,3504,9,"Glassman Wealth Services","glassman-wealth-services","Virginia","VA","McLean","Washington DC",94,3256592,"Financial Services",1
"3505",7365,3505,56,"Fiberlay","fiberlay","Washington","WA","Seattle","Seattle",94,23336348,"Business Products & Services",4
